model,l1_C,cv_auc_mean,cv_auc_std,folds
LGBM n=300 lr=0.1 leaves=31,0.1,0.7733,0.0347,"[0.7309, 0.7388, 0.775, 0.8003, 0.8214]"
LGBM n=300 lr=0.1 leaves=31,0.3,0.7729,0.0387,"[0.7296, 0.7398, 0.759, 0.8072, 0.829]"
LGBM n=300 lr=0.05 leaves=31,0.3,0.7724,0.0385,"[0.7419, 0.7333, 0.7489, 0.814, 0.824]"
SVM-rbf C=0.1 gamma=0.001,1.0,0.7724,0.0333,"[0.7253, 0.7571, 0.7585, 0.809, 0.8121]"
SVM-rbf C=1.0 gamma=scale,3.0,0.772,0.0185,"[0.7429, 0.7602, 0.7806, 0.7961, 0.7805]"
SVM-rbf C=1.0 gamma=scale,0.3,0.7718,0.0236,"[0.7359, 0.7617, 0.773, 0.8082, 0.7799]"
SVM-rbf C=0.1 gamma=scale,1.0,0.7717,0.0289,"[0.7339, 0.7601, 0.7562, 0.8156, 0.7927]"
SVM-rbf C=0.1 gamma=0.001,0.3,0.771,0.0322,"[0.7309, 0.7557, 0.7499, 0.8088, 0.8095]"
SVM-rbf C=1.0 gamma=0.01,0.1,0.7706,0.0245,"[0.7274, 0.7641, 0.7749, 0.7981, 0.7884]"
RF n=500 depth=10,0.03,0.77,0.0327,"[0.7215, 0.7579, 0.7603, 0.8171, 0.7933]"
LGBM n=300 lr=0.05 leaves=15,0.1,0.7699,0.0291,"[0.7496, 0.7275, 0.7689, 0.8027, 0.8007]"
LR C=0.01,0.1,0.7698,0.0266,"[0.7251, 0.7544, 0.7826, 0.7956, 0.7915]"
RF n=500 depth=None,0.03,0.7697,0.0306,"[0.7215, 0.7635, 0.7597, 0.8105, 0.7932]"
SVM-rbf C=0.1 gamma=scale,3.0,0.7697,0.0253,"[0.7436, 0.7598, 0.7455, 0.8005, 0.7993]"
SVM-rbf C=0.1 gamma=0.001,3.0,0.7696,0.03,"[0.7333, 0.7573, 0.7477, 0.7985, 0.8111]"
RF n=1000 depth=10,0.03,0.7695,0.0326,"[0.7191, 0.759, 0.7622, 0.8154, 0.7919]"
SVM-rbf C=1.0 gamma=scale,0.1,0.7694,0.0233,"[0.7301, 0.7593, 0.7754, 0.7981, 0.7841]"
SVM-rbf C=1.0 gamma=scale,0.03,0.769,0.018,"[0.7509, 0.7679, 0.7526, 0.8009, 0.7729]"
RF n=1000 depth=None,0.03,0.7689,0.031,"[0.7217, 0.761, 0.7576, 0.8116, 0.7926]"
LGBM n=300 lr=0.05 leaves=15,0.3,0.7674,0.0302,"[0.7297, 0.746, 0.7552, 0.8036, 0.8026]"
SVM-rbf C=10.0 gamma=0.01,0.03,0.7673,0.0282,"[0.726, 0.7513, 0.7685, 0.8101, 0.7806]"
SVM-rbf C=0.1 gamma=scale,0.3,0.7649,0.0336,"[0.7277, 0.7542, 0.7352, 0.8153, 0.792]"
SVM-rbf C=1.0 gamma=0.01,0.3,0.7645,0.0275,"[0.7219, 0.7619, 0.7663, 0.8087, 0.7637]"
SVM-rbf C=0.1 gamma=0.01,0.3,0.7633,0.0375,"[0.7198, 0.7559, 0.7344, 0.8265, 0.7796]"
LGBM n=300 lr=0.1 leaves=15,0.1,0.7631,0.0304,"[0.7221, 0.7316, 0.7756, 0.793, 0.7931]"
SVM-linear C=0.01,0.1,0.7607,0.0259,"[0.7128, 0.755, 0.7759, 0.7858, 0.7741]"
SVM-linear C=0.01,3.0,0.7582,0.0184,"[0.7241, 0.756, 0.7762, 0.7638, 0.7709]"
SVM-rbf C=10.0 gamma=0.001,0.1,0.7571,0.026,"[0.7068, 0.7607, 0.7744, 0.7793, 0.7642]"
SVM-linear C=0.01,1.0,0.7565,0.0182,"[0.7268, 0.754, 0.7764, 0.7506, 0.7747]"
SVM-linear C=0.01,0.3,0.7518,0.0177,"[0.7207, 0.7458, 0.7655, 0.7561, 0.7708]"
SVM-rbf C=0.1 gamma=0.01,1.0,0.7516,0.0294,"[0.7236, 0.7388, 0.7503, 0.8079, 0.7373]"
SVM-rbf C=10.0 gamma=0.001,0.3,0.751,0.0182,"[0.7159, 0.7526, 0.7605, 0.7679, 0.7582]"
LR C=0.1,0.3,0.7507,0.0148,"[0.7241, 0.7477, 0.7537, 0.7605, 0.7673]"
LR C=0.1,0.01,0.7494,0.043,"[0.7111, 0.7022, 0.7405, 0.8191, 0.7739]"
SVM-rbf C=1.0 gamma=0.001,0.01,0.7494,0.0431,"[0.7085, 0.7046, 0.74, 0.8197, 0.7741]"
LR C=0.1,0.1,0.7493,0.0244,"[0.7091, 0.7538, 0.7578, 0.7841, 0.7417]"
LR C=0.01,0.01,0.7492,0.0432,"[0.7094, 0.7029, 0.7405, 0.8193, 0.7739]"
LR C=1.0,0.01,0.7491,0.0432,"[0.7113, 0.701, 0.7403, 0.8191, 0.7739]"
LR C=10.0,0.01,0.7491,0.0432,"[0.7115, 0.7009, 0.7403, 0.819, 0.7739]"
SVM-rbf C=0.1 gamma=0.01,0.01,0.7491,0.0431,"[0.708, 0.7044, 0.74, 0.8191, 0.7739]"
SVM-rbf C=0.1 gamma=0.001,0.01,0.7489,0.0426,"[0.708, 0.7041, 0.7408, 0.8175, 0.774]"
SVM-rbf C=10.0 gamma=0.001,1.0,0.7489,0.0206,"[0.7268, 0.7266, 0.7774, 0.7468, 0.7668]"
SVM-linear C=0.01,0.01,0.7487,0.0433,"[0.7074, 0.7034, 0.7401, 0.8188, 0.7739]"
SVM-linear C=10.0,0.01,0.7487,0.0419,"[0.7075, 0.7056, 0.7402, 0.8161, 0.7739]"
SVM-rbf C=1.0 gamma=0.01,0.01,0.7487,0.0427,"[0.7072, 0.7043, 0.7405, 0.8174, 0.7739]"
