feature,median_rel_drift
wavelet-LLH_glcm_Imc1,0.11167737527470915
original_glszm_SmallAreaLowGrayLevelEmphasis,0.11174194823881621
wavelet-LLH_glcm_JointEntropy,0.11234374805369424
wavelet-HLL_glcm_SumEntropy,0.11674033636027237
log-sigma-5-0-mm-3D_glcm_SumSquares,0.11904890786011219
log-sigma-5-0-mm-3D_glcm_ClusterTendency,0.11964610651000546
wavelet-LLH_glcm_JointEnergy,0.12054266943976391
wavelet-LLH_glcm_SumEntropy,0.1228510577516211
wavelet-LHH_glcm_SumEntropy,0.12474402450187023
original_shape_Elongation,0.12559954936549075
log-sigma-5-0-mm-3D_glcm_Imc2,0.12604377389093074
wavelet-HHL_glcm_MCC,0.12621171673639775
log-sigma-5-0-mm-3D_glcm_JointEnergy,0.12702276601463003
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.12735611659557144
log-sigma-5-0-mm-3D_firstorder_Uniformity,0.1287672887109917
log-sigma-5-0-mm-3D_gldm_GrayLevelVariance,0.12876728871099175
original_gldm_DependenceEntropy,0.1292665009352442
original_firstorder_10Percentile,0.1314583187725627
log-sigma-5-0-mm-3D_glcm_SumAverage,0.13215258103502342
log-sigma-5-0-mm-3D_glcm_JointAverage,0.13215258103502348
log-sigma-5-0-mm-3D_glcm_Autocorrelation,0.13224562862548256
wavelet-LLL_firstorder_10Percentile,0.13229030510968715
original_glcm_DifferenceVariance,0.1323298490721506
wavelet-LLL_gldm_DependenceEntropy,0.13329937083029902
original_glcm_Idmn,0.13369655856550108
original_glcm_DifferenceAverage,0.13369655856550347
original_glcm_Contrast,0.13369655856550347
original_glcm_InverseVariance,0.13369655856550347
original_glcm_Id,0.1336965585655035
original_glcm_Idm,0.1336965585655035
original_glcm_Idn,0.13369655856550478
original_glcm_ClusterShade,0.13506098218880516
original_glcm_SumSquares,0.13534006166791018
original_glcm_JointEnergy,0.1358482709581744
log-sigma-5-0-mm-3D_firstorder_RootMeanSquared,0.13840917134379205
original_ngtdm_Complexity,0.13882250906161483
original_glcm_DifferenceEntropy,0.1398491078622498
log-sigma-5-0-mm-3D_glcm_SumEntropy,0.14125582135035578
wavelet-HHL_glcm_Imc2,0.14127454560253794
log-sigma-5-0-mm-3D_firstorder_90Percentile,0.14167437347263256
wavelet-LLL_glcm_SumSquares,0.14189575942364796
log-sigma-5-0-mm-3D_gldm_LowGrayLevelEmphasis,0.14232437573376328
log-sigma-5-0-mm-3D_gldm_HighGrayLevelEmphasis,0.1423243757337634
log-sigma-5-0-mm-3D_ngtdm_Contrast,0.14234324896432277
wavelet-LLL_glcm_ClusterTendency,0.142344478033202
wavelet-LLL_glcm_JointEnergy,0.14345252785149315
wavelet-LLH_firstorder_Variance,0.14352303219328755
log-sigma-5-0-mm-3D_glcm_JointEntropy,0.1438782351769783
original_glcm_MaximumProbability,0.1441133305085779
log-sigma-4-0-mm-3D_firstorder_90Percentile,0.1442779332314475
log-sigma-5-0-mm-3D_firstorder_Entropy,0.1452938907211247
wavelet-HLH_glcm_JointEnergy,0.1457871227260435
wavelet-HLH_glcm_JointEntropy,0.1473601595652847
wavelet-HLH_glcm_DifferenceVariance,0.14769746336926687
log-sigma-5-0-mm-3D_glcm_MaximumProbability,0.14974563984931444
original_glcm_JointEntropy,0.15015396393935096
wavelet-HHL_firstorder_InterquartileRange,0.1505192495857376
wavelet-HLH_glcm_Imc1,0.15106855493316126
wavelet-LLL_glcm_ClusterShade,0.15109514394475584
wavelet-HLH_glcm_DifferenceEntropy,0.1511123266700894
original_gldm_DependenceNonUniformityNormalized,0.15146270392399183
wavelet-LLH_firstorder_InterquartileRange,0.15166284431973293
wavelet-LLL_glcm_MaximumProbability,0.15368655398619938
original_glcm_SumEntropy,0.15400089864444141
original_gldm_GrayLevelVariance,0.15408153451387702
original_firstorder_Uniformity,0.15408153451387727
log-sigma-5-0-mm-3D_firstorder_Median,0.15542010158595193
wavelet-LLL_glcm_Idn,0.15580133802859175
wavelet-LLL_glcm_Idmn,0.15580133802859508
wavelet-LLL_glcm_Id,0.15580133802859522
wavelet-LLL_glcm_Idm,0.15580133802859522
wavelet-LLL_glcm_Contrast,0.1558013380285955
wavelet-LLL_glcm_DifferenceAverage,0.1558013380285955
wavelet-LLL_glcm_InverseVariance,0.1558013380285955
wavelet-LLL_gldm_GrayLevelVariance,0.1561031516599714
wavelet-LLL_firstorder_Uniformity,0.15610315165997152
wavelet-HLL_glcm_MaximumProbability,0.15618163300561527
wavelet-LLL_glcm_DifferenceVariance,0.15651320313646125
wavelet-LLL_glcm_JointEntropy,0.15731792320269344
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.15744015387741578
log-sigma-5-0-mm-3D_firstorder_Mean,0.15774115782758757
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.1585419296133836
log-sigma-5-0-mm-3D_glcm_ClusterShade,0.16076362113343792
original_glcm_ClusterTendency,0.16078613294927158
wavelet-LLL_glcm_SumEntropy,0.16082198581501733
log-sigma-4-0-mm-3D_firstorder_Median,0.16226866670604995
wavelet-HHH_firstorder_Minimum,0.1624374919437758
wavelet-LLL_ngtdm_Complexity,0.16348299036035796
wavelet-LLL_glcm_DifferenceEntropy,0.16498428252198308
wavelet-HLH_glcm_SumEntropy,0.16658482519941284
wavelet-LLL_glrlm_LongRunHighGrayLevelEmphasis,0.16719685216223995
wavelet-HHL_glcm_MaximumProbability,0.16843852607848012
wavelet-HLL_firstorder_InterquartileRange,0.16858732048495573
original_glrlm_LongRunHighGrayLevelEmphasis,0.16903229308845374
wavelet-LHH_firstorder_Maximum,0.16924178483175703
wavelet-LLH_gldm_DependenceVariance,0.16954291955624917
original_firstorder_Entropy,0.1698067844524562
wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.17013657887181532
wavelet-HLL_firstorder_10Percentile,0.17072555039150805
wavelet-HHL_firstorder_90Percentile,0.17084540410806714
wavelet-HHH_firstorder_Range,0.17089926964201646
wavelet-LLL_firstorder_Entropy,0.17142982737512757
wavelet-LHH_glcm_Imc2,0.1715316970567657
wavelet-HHL_firstorder_10Percentile,0.17181889834206748
log-sigma-4-0-mm-3D_glcm_ClusterTendency,0.17209842282364501
original_glszm_SmallAreaHighGrayLevelEmphasis,0.17210074122249466
log-sigma-4-0-mm-3D_glrlm_RunLengthNonUniformity,0.17230819840075506
log-sigma-4-0-mm-3D_glcm_SumSquares,0.17260674665952228
log-sigma-5-0-mm-3D_glrlm_RunLengthNonUniformity,0.17268188956343328
log-sigma-4-0-mm-3D_ngtdm_Contrast,0.17319270981763696
wavelet-HHH_firstorder_Maximum,0.17336880221230816
wavelet-LLL_firstorder_90Percentile,0.1733989922186828
log-sigma-4-0-mm-3D_glcm_JointEnergy,0.17496780437596154
log-sigma-4-0-mm-3D_firstorder_Mean,0.17504887563236118
original_firstorder_90Percentile,0.17560406949399465
wavelet-LHH_firstorder_Minimum,0.17594207415103502
log-sigma-4-0-mm-3D_glcm_SumAverage,0.17649535009705963
log-sigma-4-0-mm-3D_glcm_JointAverage,0.17649535009705977
wavelet-LHH_firstorder_TotalEnergy,0.17724417809218107
wavelet-LHH_firstorder_Energy,0.1772441780921811
log-sigma-4-0-mm-3D_firstorder_RootMeanSquared,0.1772817866815088
wavelet-LLH_firstorder_10Percentile,0.17734138771379293
wavelet-LLH_firstorder_MeanAbsoluteDeviation,0.1783945734397318
log-sigma-4-0-mm-3D_glcm_Autocorrelation,0.17870786160108038
wavelet-LHH_glcm_MCC,0.1795923232045806
log-sigma-4-0-mm-3D_firstorder_Uniformity,0.18359107655008494
log-sigma-4-0-mm-3D_gldm_GrayLevelVariance,0.1835910765500852
wavelet-LLL_glcm_ClusterProminence,0.18372937600897643
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.18404527616384173
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.18447873902630607
wavelet-HHL_firstorder_Variance,0.18488097259042058
wavelet-LLH_firstorder_90Percentile,0.1849581588701369
original_shape_MajorAxisLength,0.1872260194519181
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.18809578709599595
wavelet-LLH_firstorder_RootMeanSquared,0.1891878702685386
log-sigma-4-0-mm-3D_glcm_SumEntropy,0.18994923666666774
log-sigma-4-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.19079128312442245
log-sigma-4-0-mm-3D_gldm_HighGrayLevelEmphasis,0.19352482539038018
log-sigma-4-0-mm-3D_gldm_LowGrayLevelEmphasis,0.1935248253903804
log-sigma-4-0-mm-3D_glcm_JointEntropy,0.194199457438893
wavelet-LHH_firstorder_Range,0.1951472225229296
log-sigma-4-0-mm-3D_glcm_MaximumProbability,0.19580698367026553
log-sigma-5-0-mm-3D_glcm_DifferenceVariance,0.1965759960165518
log-sigma-4-0-mm-3D_firstorder_Entropy,0.19822404168194788
log-sigma-5-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.1982865028920036
