model,l1_C,cv_auc_mean,cv_auc_std,folds
SVM-rbf C=1.0 gamma=scale,0.3,0.7439,0.0362,"[0.6858, 0.7444, 0.7383, 0.7993, 0.7516]"
LGBM n=300 lr=0.05 leaves=31,1.0,0.7437,0.0261,"[0.7058, 0.7451, 0.7238, 0.7711, 0.7725]"
RF n=1000 depth=None,0.03,0.7435,0.0408,"[0.6717, 0.7722, 0.725, 0.7823, 0.766]"
LGBM n=300 lr=0.1 leaves=31,3.0,0.7432,0.0354,"[0.6858, 0.7503, 0.7265, 0.7908, 0.7627]"
LGBM n=300 lr=0.05 leaves=15,3.0,0.743,0.0348,"[0.6862, 0.7448, 0.7287, 0.788, 0.7675]"
RF n=500 depth=None,0.03,0.7426,0.0428,"[0.6665, 0.7742, 0.7253, 0.7831, 0.7638]"
LGBM n=300 lr=0.05 leaves=15,1.0,0.7423,0.0328,"[0.687, 0.747, 0.7366, 0.7891, 0.7519]"
SVM-rbf C=1.0 gamma=scale,0.03,0.7413,0.0323,"[0.6879, 0.7591, 0.7299, 0.7849, 0.7448]"
LGBM n=300 lr=0.1 leaves=15,3.0,0.7395,0.0321,"[0.6901, 0.7554, 0.714, 0.7756, 0.7623]"
SVM-rbf C=0.1 gamma=scale,0.01,0.7393,0.0236,"[0.7039, 0.7474, 0.7203, 0.7663, 0.7587]"
LGBM n=300 lr=0.1 leaves=15,1.0,0.7377,0.0234,"[0.7003, 0.7431, 0.7256, 0.7697, 0.7495]"
LR C=0.01,3.0,0.7377,0.0447,"[0.6644, 0.7441, 0.7191, 0.7976, 0.763]"
SVM-rbf C=10.0 gamma=0.01,0.01,0.7376,0.0386,"[0.6904, 0.7039, 0.7297, 0.7896, 0.7742]"
SVM-rbf C=1.0 gamma=0.01,0.1,0.7374,0.0386,"[0.6788, 0.7497, 0.713, 0.7926, 0.753]"
SVM-rbf C=1.0 gamma=0.01,0.3,0.7374,0.0345,"[0.6863, 0.7403, 0.7276, 0.7942, 0.7385]"
SVM-rbf C=0.1 gamma=0.01,3.0,0.7367,0.0462,"[0.6719, 0.7382, 0.7078, 0.8091, 0.7566]"
LR C=0.01,0.1,0.7366,0.0373,"[0.679, 0.7414, 0.7159, 0.7887, 0.758]"
LR C=0.01,1.0,0.7354,0.0443,"[0.661, 0.7321, 0.7268, 0.7937, 0.7634]"
SVM-linear C=0.01,0.1,0.7352,0.038,"[0.6776, 0.7317, 0.7173, 0.7899, 0.7596]"
