family,model,l1_C,cv_auc_mean,cv_auc_std
LR,LR C=0.1,1.0,0.7459,0.0132
LGBM,LGBM n=300 lr=0.05 leaves=15,0.03,0.7452,0.0257
SVM,SVM-rbf C=10.0 gamma=scale,1.0,0.743,0.019
SVM,SVM-rbf C=10.0 gamma=scale,3.0,0.743,0.0124
SVM,SVM-rbf C=10.0 gamma=0.001,3.0,0.7429,0.0137
SVM,SVM-rbf C=10.0 gamma=0.01,1.0,0.7405,0.0279
DT,DT depth=5 msl=30,0.03,0.7403,0.0395
SVM,SVM-rbf C=0.1 gamma=scale,0.01,0.7401,0.0282
SVM,SVM-rbf C=10.0 gamma=scale,0.3,0.7398,0.0216
SVM,SVM-rbf C=1.0 gamma=scale,0.01,0.7398,0.0242
LR,LR C=1.0,0.1,0.7398,0.024
LGBM,LGBM n=300 lr=0.1 leaves=15,0.03,0.7391,0.0203
LGBM,LGBM n=300 lr=0.1 leaves=31,0.03,0.7389,0.0275
DT,DT depth=None msl=30,0.1,0.7384,0.0482
DT,DT depth=3 msl=30,0.03,0.7384,0.0428
DT,DT depth=5 msl=30,0.1,0.7378,0.0501
SVM,SVM-rbf C=10.0 gamma=scale,0.1,0.7374,0.0269
DT,DT depth=5 msl=10,0.03,0.7373,0.0303
SVM,SVM-rbf C=10.0 gamma=0.01,0.1,0.737,0.0266
LGBM,LGBM n=300 lr=0.05 leaves=31,0.03,0.737,0.0283
SVM,SVM-rbf C=0.1 gamma=0.01,3.0,0.737,0.016
SVM,SVM-linear C=1.0,0.1,0.7368,0.028
LR,LR C=10.0,0.1,0.7368,0.025
SVM,SVM-rbf C=1.0 gamma=0.01,3.0,0.7352,0.0131
SVM,SVM-linear C=10.0,0.1,0.735,0.0283
SVM,SVM-rbf C=10.0 gamma=scale,0.01,0.7344,0.0228
DT,DT depth=3 msl=10,0.03,0.7328,0.0236
DT,DT depth=3 msl=30,0.3,0.7326,0.044
DT,DT depth=3 msl=10,0.1,0.7319,0.047
SVM,SVM-rbf C=10.0 gamma=0.01,3.0,0.7314,0.0158
DT,DT depth=None msl=30,0.03,0.7309,0.0531
DT,DT depth=5 msl=30,0.3,0.7308,0.0419
DT,DT depth=None msl=30,0.3,0.729,0.0425
DT,DT depth=5 msl=30,1.0,0.7279,0.0261
DT,DT depth=None msl=30,1.0,0.7275,0.0251
DT,DT depth=3 msl=30,0.01,0.726,0.0337
DT,DT depth=5 msl=30,3.0,0.724,0.0371
DT,DT depth=3 msl=10,0.01,0.7228,0.0339
DT,DT depth=None msl=30,3.0,0.7226,0.041
DT,DT depth=3 msl=30,1.0,0.7225,0.0283
LR,LR C=1.0,0.3,0.7224,0.014
DT,DT depth=5 msl=30,0.01,0.7215,0.0266
DT,DT depth=3 msl=10,0.3,0.7209,0.0374
DT,DT depth=None msl=10,0.03,0.7197,0.0354
SVM,SVM-rbf C=10.0 gamma=scale,0.03,0.7188,0.0233
SVM,SVM-linear C=1.0,0.3,0.7151,0.0145
DT,DT depth=None msl=30,0.01,0.7136,0.0305
LR,LR C=10.0,0.3,0.7115,0.0166
DT,DT depth=3 msl=10,1.0,0.7104,0.0336
RF,RF n=500 depth=10,0.01,0.7078,0.0391
SVM,SVM-linear C=10.0,0.3,0.7077,0.0234
DT,DT depth=5 msl=10,0.01,0.707,0.0398
DT,DT depth=None msl=10,0.1,0.7038,0.0585
DT,DT depth=None msl=10,0.3,0.7034,0.0293
LR,LR C=1.0,3.0,0.703,0.018
DT,DT depth=3 msl=30,3.0,0.702,0.0296
DT,DT depth=5 msl=10,0.3,0.7017,0.0288
LR,LR C=1.0,1.0,0.7003,0.017
DT,DT depth=5 msl=10,0.1,0.6985,0.0591
LGBM,LGBM n=300 lr=0.05 leaves=31,0.01,0.696,0.0369
LGBM,LGBM n=300 lr=0.05 leaves=15,0.01,0.6949,0.035
DT,DT depth=3 msl=10,3.0,0.6937,0.0301
DT,DT depth=5 msl=10,1.0,0.6889,0.0274
LGBM,LGBM n=300 lr=0.1 leaves=15,0.01,0.688,0.0389
RF,RF n=500 depth=None,0.01,0.688,0.0411
DT,DT depth=None msl=10,3.0,0.6838,0.0326
LR,LR C=10.0,1.0,0.6826,0.0233
LR,LR C=10.0,3.0,0.6822,0.0166
LGBM,LGBM n=300 lr=0.1 leaves=31,0.01,0.6815,0.0429
SVM,SVM-linear C=1.0,1.0,0.6799,0.0288
DT,DT depth=None msl=10,1.0,0.6787,0.0333
SVM,SVM-linear C=10.0,1.0,0.6736,0.025
DT,DT depth=5 msl=10,3.0,0.6717,0.0461
SVM,SVM-linear C=10.0,3.0,0.6656,0.0254
DT,DT depth=None msl=10,0.01,0.6642,0.0455
SVM,SVM-linear C=1.0,3.0,0.6632,0.0223
