family,model,l1_C,cv_auc_mean,cv_auc_std
SVM,SVM-rbf C=10.0 gamma=0.01,3.0,0.7146,0.0488
LGBM,LGBM n=300 lr=0.05 leaves=15,0.1,0.7143,0.0227
LGBM,LGBM n=300 lr=0.1 leaves=15,0.1,0.714,0.0239
DT,DT depth=3 msl=10,0.03,0.7126,0.0401
DT,DT depth=3 msl=30,0.1,0.7117,0.0378
SVM,SVM-rbf C=10.0 gamma=0.01,1.0,0.7114,0.0461
SVM,SVM-rbf C=10.0 gamma=0.001,0.3,0.7097,0.0345
SVM,SVM-rbf C=10.0 gamma=0.001,1.0,0.7091,0.0318
SVM,SVM-rbf C=10.0 gamma=0.001,3.0,0.709,0.0399
LR,LR C=0.1,0.1,0.7081,0.035
SVM,SVM-rbf C=10.0 gamma=0.01,0.3,0.7075,0.0207
SVM,SVM-rbf C=10.0 gamma=scale,0.01,0.7073,0.0293
LGBM,LGBM n=300 lr=0.05 leaves=15,0.03,0.7056,0.0363
LGBM,LGBM n=300 lr=0.05 leaves=31,0.03,0.7048,0.0319
SVM,SVM-rbf C=10.0 gamma=scale,3.0,0.7039,0.0402
SVM,SVM-rbf C=10.0 gamma=scale,1.0,0.7032,0.0367
SVM,SVM-linear C=1.0,0.1,0.7032,0.038
DT,DT depth=5 msl=30,0.1,0.7021,0.0447
SVM,SVM-linear C=10.0,0.1,0.7017,0.0383
LGBM,LGBM n=300 lr=0.1 leaves=31,0.03,0.7012,0.0361
DT,DT depth=5 msl=30,0.01,0.701,0.0321
DT,DT depth=3 msl=10,0.1,0.7008,0.0595
LGBM,LGBM n=300 lr=0.1 leaves=15,0.03,0.6998,0.0383
SVM,SVM-rbf C=10.0 gamma=scale,0.3,0.6995,0.0212
DT,DT depth=5 msl=10,0.01,0.6993,0.0312
DT,DT depth=None msl=30,0.01,0.6991,0.0307
LR,LR C=1.0,0.1,0.6946,0.0328
DT,DT depth=None msl=30,0.1,0.6931,0.0499
LR,LR C=0.1,0.3,0.6928,0.0242
LR,LR C=10.0,0.1,0.6928,0.0323
SVM,SVM-rbf C=10.0 gamma=scale,0.03,0.6922,0.0263
DT,DT depth=3 msl=30,0.3,0.6922,0.0443
DT,DT depth=None msl=10,0.01,0.69,0.0277
DT,DT depth=None msl=30,3.0,0.6895,0.0341
DT,DT depth=5 msl=10,0.03,0.6891,0.0471
LGBM,LGBM n=300 lr=0.05 leaves=15,0.01,0.6882,0.0226
DT,DT depth=5 msl=30,3.0,0.6865,0.0309
DT,DT depth=None msl=30,1.0,0.6859,0.0237
LR,LR C=0.1,3.0,0.6856,0.0323
DT,DT depth=5 msl=30,1.0,0.6847,0.0245
LGBM,LGBM n=300 lr=0.05 leaves=31,0.01,0.6847,0.0224
LR,LR C=0.1,1.0,0.6844,0.0355
SVM,SVM-rbf C=10.0 gamma=0.01,0.1,0.6842,0.0297
DT,DT depth=5 msl=30,0.3,0.6825,0.0525
DT,DT depth=3 msl=30,3.0,0.6821,0.0489
DT,DT depth=None msl=30,0.3,0.6818,0.0502
LGBM,LGBM n=300 lr=0.1 leaves=15,0.01,0.6814,0.0247
DT,DT depth=3 msl=30,1.0,0.6813,0.0276
DT,DT depth=3 msl=10,0.3,0.6786,0.0612
LGBM,LGBM n=300 lr=0.1 leaves=31,0.01,0.6777,0.0292
DT,DT depth=3 msl=10,1.0,0.6763,0.0458
DT,DT depth=None msl=10,0.03,0.6737,0.0486
SVM,SVM-rbf C=10.0 gamma=scale,0.1,0.6735,0.0246
RF,RF n=500 depth=10,0.01,0.6731,0.0459
LR,LR C=1.0,0.3,0.667,0.0165
DT,DT depth=5 msl=10,0.1,0.6654,0.0636
DT,DT depth=5 msl=10,1.0,0.6648,0.0404
DT,DT depth=3 msl=10,3.0,0.6623,0.0481
DT,DT depth=5 msl=10,0.3,0.6597,0.0737
DT,DT depth=None msl=10,1.0,0.6587,0.0289
SVM,SVM-linear C=1.0,0.3,0.6553,0.0242
DT,DT depth=None msl=10,0.3,0.6551,0.072
DT,DT depth=None msl=10,0.1,0.6546,0.0491
LR,LR C=10.0,0.3,0.6541,0.02
LR,LR C=1.0,1.0,0.6493,0.0331
RF,RF n=500 depth=None,0.01,0.6491,0.0535
LR,LR C=1.0,3.0,0.6458,0.0311
DT,DT depth=5 msl=10,3.0,0.6458,0.031
SVM,SVM-linear C=10.0,0.3,0.6433,0.021
SVM,SVM-linear C=10.0,1.0,0.6417,0.0369
DT,DT depth=None msl=10,3.0,0.6405,0.0338
LR,LR C=10.0,1.0,0.6398,0.0389
LR,LR C=10.0,3.0,0.635,0.0338
SVM,SVM-linear C=1.0,1.0,0.6335,0.0333
SVM,SVM-linear C=1.0,3.0,0.6312,0.0335
SVM,SVM-linear C=10.0,3.0,0.6295,0.0359
