case_key,vendor,model,spacing_z,thick_mm,th_bin
e9b4752a2255,SIEMENS,Skyra,1.5,1.5,thin<=2.0
c3eb8bc3ac0a,SIEMENS,Skyra,1.5,1.5,thin<=2.0
f487038e03a6,SIEMENS,Skyra,1.5,1.5,thin<=2.0
06a1aa81c02b,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
2840f720bbdf,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
8a82bf3c5b2b,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
0fe1dbded3c1,SIEMENS,Verio,1.5,1.5,thin<=2.0
7e1b746af350,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
de3102a6390d,SIEMENS,Skyra,1.5,1.5,thin<=2.0
9990558acb52,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
c4fc7f131279,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
c6c49395b108,SIEMENS,Verio,1.5,1.5,thin<=2.0
c4dfd1841ec4,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2c1af07ab1ae,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
58247b9fc97d,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
00bf6deb8d09,SIEMENS,Skyra,1.5,1.5,thin<=2.0
17af8f058f53,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
fc0654e695a1,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
be881ffce88c,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
35402e139d2f,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
c2442dbcbd3c,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d70442e74cb2,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
a473989d7daa,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
83e83043d50e,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
7e499d763ef9,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
ea91d985804e,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
287ec231f7d1,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
2334f6e38a89,SIEMENS,Verio,1.5,1.5,thin<=2.0
c630b929e9ed,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
04cd2d37e5ac,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
a60277e05109,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
8c021b7ddc4a,SIEMENS,Skyra,1.5,1.5,thin<=2.0
4141e1a580dd,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
890e979a7bc1,SIEMENS,Skyra,1.5,1.5,thin<=2.0
6745af0271cb,SIEMENS,Verio,1.5,1.5,thin<=2.0
4f46b0d46a4a,SIEMENS,Verio,1.5,1.5,thin<=2.0
ffa94886ea7d,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
6ba9c6b54ef7,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a5bb1d1c44b5,SIEMENS,Verio,1.5,1.5,thin<=2.0
c0d757d282a5,SIEMENS,Prisma,3.5,3.5,thick>3.2
5f6138de5ad4,SIEMENS,Verio,1.5,1.5,thin<=2.0
fda8c174d332,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
1d270d59f615,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
3aa8860e640f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e2f0c0e8cf0f,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
34c0455358c4,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
3a9032f61e6c,SIEMENS,Prisma,1.5,1.5,thin<=2.0
036d20903cbb,SIEMENS,Skyra,1.5,1.5,thin<=2.0
13325c0866c6,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
3f181b97e560,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
4bbf17228c50,SIEMENS,Prisma,1.5,1.5,thin<=2.0
99bcf65667e3,GE MEDICAL SYSTEMS,SIGNA Architect,3.0,3.0,mid2.0-3.2
53182235e4d6,SIEMENS,Skyra,1.5,1.5,thin<=2.0
0d833719775a,SIEMENS,Prisma,1.5,1.5,thin<=2.0
fb273dc29fb2,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
9261a4fe3331,SIEMENS,Skyra,1.5,1.5,thin<=2.0
2c769592bb5c,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
7c209373eb5c,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
606c6aea331a,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
ad2fd5463f69,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
8cbb2faf6d46,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
954c32268cc5,SIEMENS,Skyra,1.5,1.5,thin<=2.0
9b7f60148bb9,SIEMENS,Skyra,1.5,1.5,thin<=2.0
4bb060fff34b,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
b3ab6eeed5a1,SIEMENS,Skyra,1.5,1.5,thin<=2.0
3f15c84c5d1c,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
8caf0df3562a,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
6ebcc14a94ea,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
89829364c9df,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
28a362191c73,SIEMENS,Skyra,1.5,1.5,thin<=2.0
fae7039a9af2,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
f883c131c228,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
79a23af160df,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
e51f80c42fa1,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5fb674662421,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5f971c289c37,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
08b22ebf5448,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
42752328ee57,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
8496a14dbb57,SIEMENS,Skyra,1.5,1.5,thin<=2.0
a303eba8cf9a,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
2e4b11cff9f3,SIEMENS,Verio,1.5,1.5,thin<=2.0
d78f98b972a2,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
dc6e2c2f6051,SIEMENS,Verio,1.5,1.5,thin<=2.0
e063afe325b5,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
b90b1fe224ae,SIEMENS,Verio,1.5,1.5,thin<=2.0
445830781e67,SIEMENS,Verio,1.5,1.5,thin<=2.0
75d89d06a911,SIEMENS,Verio,1.5,1.5,thin<=2.0
dc9aceb837ce,SIEMENS,Skyra,1.5,1.5,thin<=2.0
28352e4365d5,SIEMENS,Verio,1.5,1.5,thin<=2.0
34fb40629d5e,SIEMENS,Skyra,1.5,1.5,thin<=2.0
116ef3673bfa,SIEMENS,Skyra,1.5,1.5,thin<=2.0
36f94792435b,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
d3dfd037d387,GE MEDICAL SYSTEMS,Signa HDxt,2.0,2.0,thin<=2.0
c3d314dc8cc5,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
15cefa637350,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
9c112b607f96,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1daa07342339,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
dbf7cd5332b0,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
6542a0e63b91,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
e8ee5a728c3d,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
643c6f33eba4,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
eeff1a96a1e7,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
4c02841fcb54,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
a2225ee1c447,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
f3fa141a80b6,SIEMENS,Skyra,1.5,1.5,thin<=2.0
51f02afc1803,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
f6a73a4b5225,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
1bb565690522,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
41df87e17c38,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
7e9e42832ae2,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
d4311e8cc1f4,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
f0df94ad19eb,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
b5ffe604915b,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
6272af0a72a8,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
30a830b5516f,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
5a55c0c18725,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
76f9fd6d4d5f,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
f7028f8c4768,SIEMENS,Verio,1.5,1.5,thin<=2.0
58ede48e08d5,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
112fb6c58d5e,SIEMENS,Verio,1.5,1.5,thin<=2.0
b7c28f32dfe5,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
1da44a865cdf,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
8663b350ee16,SIEMENS,Verio,1.5,1.5,thin<=2.0
305c362c6588,SIEMENS,Skyra,1.5,1.5,thin<=2.0
0dded0575b1e,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
81860e31cf35,SIEMENS,Skyra,1.5,1.5,thin<=2.0
50d97cbfff32,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d7a5a8eb6564,SIEMENS,Skyra,1.5,1.5,thin<=2.0
21a6505ace13,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
9f8d0163233f,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
e6bbbaf6c19f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
e4e8dfd1da0b,SIEMENS,Verio,1.5,1.5,thin<=2.0
d5db63290759,SIEMENS,Verio,1.5,1.5,thin<=2.0
467502196516,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
601fa8182c37,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
f437c6754d64,SIEMENS,Verio,1.5,1.5,thin<=2.0
b43979c6f533,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
ccf97819c15f,SIEMENS,Skyra,1.5,1.5,thin<=2.0
06a1e70611b2,SIEMENS,Skyra,1.5,1.5,thin<=2.0
fcfd28f7fe28,SIEMENS,Verio,1.5,1.5,thin<=2.0
ad5231b60a36,SIEMENS,Verio,1.5,1.5,thin<=2.0
cfdefc623c00,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
4c14e80c7586,SIEMENS,Verio,1.5,1.5,thin<=2.0
ebd08c8cfeac,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
02eaf1092bee,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5b88da572f95,GE MEDICAL SYSTEMS,SIGNA Architect,4.0,4.0,thick>3.2
