case_key,vendor,model,spacing_z,thick_mm,th_bin
a84a29442721,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
fc7c919c7c26,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
aa47164843b8,GE MEDICAL SYSTEMS,Signa HDxt,4.0,4.0,thick>3.2
9673fd840068,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
a206a7058241,SIEMENS,Verio,1.5,1.5,thin<=2.0
b6e2a5337695,SIEMENS,Verio,1.5,1.5,thin<=2.0
89b43632bce9,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
c929db456395,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
04a3fed7db97,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
cb6e9d7bf885,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
7e7d2687cb1d,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
44ba56f463f0,SIEMENS,Skyra,1.5,1.5,thin<=2.0
f1aad2142601,SIEMENS,Skyra,1.5,1.5,thin<=2.0
d54a32d92f89,SIEMENS,Verio,1.5,1.5,thin<=2.0
4864254db6cb,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
6eb971de75c4,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
8b5a2e299402,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
85cbcbbcbc25,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
13903166620d,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
49f0bc8f38b5,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
5b2c177f7644,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
a0268fc1b36a,SIEMENS,Skyra,1.5,1.5,thin<=2.0
5c320c107e3b,SIEMENS,Skyra,1.5,1.5,thin<=2.0
c5a0eb441e58,SIEMENS,Skyra,1.5,1.5,thin<=2.0
297d764c4c25,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
7419fe015d06,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
ce52faea7a92,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
b25eecc21d6f,GE MEDICAL SYSTEMS,Signa HDxt,1.5,1.5,thin<=2.0
11fc0095ec00,GE MEDICAL SYSTEMS,SIGNA Pioneer,3.3,3.3,thick>3.2
95e2eb9de53e,SIEMENS,Skyra,1.5,1.5,thin<=2.0
